s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 9.0317851E-001, 2.9670294E+002, 0.0000000E+000,-1.1696806E+002,-4.4667748E-002,-2.9776710E+000,-1.4033244E-002, 6.4303079E+001, 0.0000000E+000, 2.3267538E+002, 2.4100159E+002, 0.0000000E+000, 6.9384043E-003, 0.0000000E+000, 7.0363473E+002
 9.6367860E-001, 3.1155637E+002, 0.0000000E+000,-1.2452457E+002,-4.3027555E-002,-3.6228753E+000,-1.4778068E-002, 6.9226765E+001, 0.0000000E+000, 2.5226156E+002, 2.5257788E+002, 0.0000000E+000, 7.2299520E-003, 0.0000000E+000, 8.5494045E+002
 1.0203691E+000, 3.1807233E+002, 0.0000000E+000,-1.1372280E+002,-5.1685894E-002,-4.1766210E+000,-1.5251108E-002, 7.5874720E+001, 0.0000000E+000, 2.6973966E+002, 2.7598069E+002, 0.0000000E+000, 7.4832997E-003, 0.0000000E+000, 1.0087000E+003
 1.0820634E+000, 3.2311472E+002, 0.0000000E+000,-1.1041607E+002,-4.6302557E-002,-4.8069704E+000,-1.4839879E-002, 7.9216240E+001, 0.0000000E+000, 2.8646264E+002, 2.8704678E+002, 0.0000000E+000, 7.7169640E-003, 0.0000000E+000, 1.1853148E+003
 1.1437577E+000, 3.2679658E+002, 0.0000000E+000,-1.0826160E+002,-5.0906226E-002,-5.5440327E+000,-1.5725449E-002, 8.1303267E+001, 0.0000000E+000, 2.9362000E+002, 2.9422759E+002, 0.0000000E+000, 7.9400120E-003, 0.0000000E+000, 1.3668845E+003
 1.2080960E+000, 3.1765010E+002, 0.0000000E+000,-1.1075262E+002,-5.0817012E-002,-6.3361994E+000,-1.6050498E-002, 7.7082093E+001, 0.0000000E+000, 2.7954782E+002, 2.7757651E+002, 0.0000000E+000, 8.1465823E-003, 0.0000000E+000, 1.5472416E+003
 1.2685623E+000, 3.1981125E+002, 0.0000000E+000,-1.1309381E+002,-5.2241073E-002,-7.3274524E+000,-1.7770920E-002, 7.5315879E+001, 0.0000000E+000, 2.7680312E+002, 2.7463586E+002, 0.0000000E+000, 8.3297790E-003, 0.0000000E+000, 1.7129730E+003
 1.3238307E+000, 3.1026424E+002, 0.0000000E+000,-1.1164177E+002,-5.1853149E-002,-8.2917163E+000,-1.8323410E-002, 7.1678516E+001, 0.0000000E+000, 2.6072048E+002, 2.6193909E+002, 0.0000000E+000, 8.4831263E-003, 0.0000000E+000, 1.8558744E+003
 1.3803005E+000, 3.5379807E+002, 0.0000000E+000,-1.0816112E+002,-4.9463983E-002,-9.1402786E+000,-1.8654252E-002, 8.8182207E+001, 0.0000000E+000, 3.1954022E+002, 3.2461076E+002, 0.0000000E+000, 8.6170327E-003, 0.0000000E+000, 2.0344205E+003
 1.4400871E+000, 3.1072894E+002, 0.0000000E+000,-1.0286409E+002,-5.7766512E-002,-1.0120556E+001,-1.8611951E-002, 7.7410288E+001, 0.0000000E+000, 2.7925113E+002, 2.7507820E+002, 0.0000000E+000, 8.7436837E-003, 0.0000000E+000, 2.2030556E+003
