s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 1.8480429E+001, 3.4545918E+002, 0.0000000E+000,-1.4474780E+002,-1.7044052E-002,-8.6737592E+001,-1.8780548E-002, 4.4013503E+001, 0.0000000E+000, 1.5205915E+002, 1.5795147E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.6294685E+004
 1.8603043E+001, 3.9011671E+002, 0.0000000E+000,-1.6248224E+002,-5.4373914E-002,-8.6316538E+001,-1.9923866E-002, 5.1104293E+001, 0.0000000E+000, 1.9259692E+002, 1.9234793E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.6521742E+004
 1.8722881E+001, 4.0268755E+002, 0.0000000E+000,-1.7825273E+002,-8.7895667E-002,-8.7450067E+001,-1.9771766E-002, 5.0276483E+001, 0.0000000E+000, 1.8584423E+002, 1.8715357E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.6738488E+004
 1.8842197E+001, 4.3753704E+002, 0.0000000E+000,-1.8840533E+002,-1.0016907E-002,-9.0023865E+001,-2.0268671E-002, 5.9596565E+001, 0.0000000E+000, 2.2095498E+002, 2.1867412E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.6996822E+004
 1.8967695E+001, 4.3612350E+002, 0.0000000E+000,-1.7878641E+002,-7.0935920E-003,-9.3797001E+001,-1.9653305E-002, 6.4770732E+001, 0.0000000E+000, 2.3000616E+002, 2.2828408E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.7291739E+004
 1.9082056E+001, 3.4900277E+002, 0.0000000E+000,-1.5809665E+002,-5.3021462E-002,-9.3651994E+001,-1.8083520E-002, 4.1781572E+001, 0.0000000E+000, 1.4301285E+002, 1.3896460E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.7466894E+004
 1.9203768E+001, 3.0789740E+002, 0.0000000E+000,-1.3989223E+002,-7.9000638E-002,-9.1412088E+001,-1.8258751E-002, 3.3971867E+001, 0.0000000E+000, 1.0920010E+002, 1.1046769E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.7616093E+004
 1.9328667E+001, 3.3932459E+002, 0.0000000E+000,-1.4540668E+002,-4.9931700E-002,-8.8439945E+001,-1.8786058E-002, 4.2509377E+001, 0.0000000E+000, 1.4426729E+002, 1.4791863E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.7805895E+004
 1.9443323E+001, 3.6487267E+002, 0.0000000E+000,-1.5527731E+002,-5.4671983E-002,-8.6534775E+001,-1.9444832E-002, 4.9449749E+001, 0.0000000E+000, 1.7086795E+002, 1.7243622E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.8010548E+004
 1.9563267E+001, 3.9943586E+002, 0.0000000E+000,-1.7060784E+002,-7.1093813E-002,-8.6035510E+001,-1.9397319E-002, 5.3025909E+001, 0.0000000E+000, 1.9311568E+002, 1.9572793E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.8239629E+004
 1.9683210E+001, 4.3443852E+002, 0.0000000E+000,-1.9470182E+002,-2.1908259E-002,-8.6229517E+001,-1.9314635E-002, 5.7459748E+001, 0.0000000E+000, 2.1136791E+002, 2.1092571E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.8488940E+004
 1.9801702E+001, 4.4734493E+002, 0.0000000E+000,-1.9196760E+002,-4.7198675E-002,-8.5766222E+001,-1.8830363E-002, 6.4599487E+001, 0.0000000E+000, 2.3405707E+002, 2.3414456E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.8766003E+004
 1.9923119E+001, 3.4623719E+002, 0.0000000E+000,-1.6734327E+002,-1.0134234E-001,-8.6073996E+001,-1.9452741E-002, 3.9773522E+001, 0.0000000E+000, 1.3883071E+002, 1.3247265E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.8944579E+004
 2.0046148E+001, 3.3349628E+002, 0.0000000E+000,-1.4777218E+002,-3.8303679E-002,-8.6388203E+001,-1.8772738E-002, 4.0431044E+001, 0.0000000E+000, 1.3656300E+002, 1.3970987E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.9122810E+004
 2.0166618E+001, 3.9455031E+002, 0.0000000E+000,-1.5983865E+002,-3.3858628E-002,-8.7458527E+001,-1.8131224E-002, 5.6149710E+001, 0.0000000E+000, 2.0172626E+002, 2.0335084E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.9366434E+004
 2.0283360E+001, 3.4324536E+002, 0.0000000E+000,-1.6276494E+002,-6.9829979E-002,-8.7152394E+001,-1.7548025E-002, 3.8182212E+001, 0.0000000E+000, 1.3747507E+002, 1.3142286E+002, 0.0000000E+000, 8.1306990E-003, 0.0000000E+000, 4.9531999E+004
