,,s,s,s
    2400,2026-02-04T11:45:05.948+01:00, 0.111E-01,  20.48922, 0.16088E+03
    2500,2026-02-04T11:45:12.758+01:00, 0.910E-02,  21.43016, 0.16767E+03
    2600,2026-02-04T11:45:19.474+01:00, 0.939E-02,  22.42331, 0.17434E+03
    2700,2026-02-04T11:45:26.045+01:00, 0.104E-01,  23.43677, 0.18090E+03
    2800,2026-02-04T11:45:32.624+01:00, 0.119E-01,  24.39188, 0.18745E+03
    2900,2026-02-04T11:45:39.232+01:00, 0.855E-02,  25.40289, 0.19405E+03
    3000,2026-02-04T11:45:45.927+01:00, 0.101E-01,  26.38676, 0.20072E+03
    3100,2026-02-04T11:45:52.479+01:00, 0.104E-01,  27.42936, 0.20726E+03
    3200,2026-02-04T11:45:59.044+01:00, 0.120E-01,  28.51872, 0.21381E+03
    3300,2026-02-04T11:46:05.675+01:00, 0.105E-01,  29.62052, 0.22042E+03
    3400,2026-02-04T11:46:12.208+01:00, 0.105E-01,  30.70501, 0.22694E+03
    3500,2026-02-04T11:46:19.071+01:00, 0.108E-01,  31.78897, 0.23377E+03
    3600,2026-02-04T11:46:26.407+01:00, 0.910E-02,  32.85347, 0.24104E+03
    3700,2026-02-04T11:46:33.746+01:00, 0.118E-01,  33.85361, 0.24833E+03
    3800,2026-02-04T11:46:40.489+01:00, 0.896E-02,  34.90150, 0.25505E+03
    3900,2026-02-04T11:46:47.087+01:00, 0.122E-01,  36.00187, 0.26164E+03
    4000,2026-02-04T11:46:53.654+01:00, 0.120E-01,  37.11894, 0.26819E+03
    4100,2026-02-04T11:47:00.932+01:00, 0.122E-01,  38.18834, 0.27541E+03
    4200,2026-02-04T11:47:08.698+01:00, 0.111E-01,  39.32432, 0.28307E+03
    4300,2026-02-04T11:47:16.523+01:00, 0.117E-01,  40.42805, 0.29077E+03
    4400,2026-02-04T11:47:24.602+01:00, 0.104E-01,  41.54000, 0.29871E+03
    4500,2026-02-04T11:47:32.037+01:00, 0.103E-01,  42.68103, 0.30608E+03
    4600,2026-02-04T11:47:38.635+01:00, 0.102E-01,  43.84721, 0.31267E+03
    4700,2026-02-04T11:47:45.281+01:00, 0.113E-01,  45.00322, 0.31931E+03
    4800,2026-02-04T11:47:51.928+01:00, 0.110E-01,  46.09016, 0.32596E+03
    4900,2026-02-04T11:47:58.545+01:00, 0.123E-01,  47.26324, 0.33257E+03
    5000,2026-02-04T11:48:05.202+01:00, 0.757E-02,  48.40157, 0.33923E+03
    5100,2026-02-04T11:48:11.879+01:00, 0.117E-01,  49.58450, 0.34590E+03
    5200,2026-02-04T11:48:18.539+01:00, 0.116E-01,  50.74956, 0.35256E+03
    5300,2026-02-04T11:48:25.270+01:00, 0.125E-01,  51.98309, 0.35928E+03
    5400,2026-02-04T11:48:31.977+01:00, 0.121E-01,  53.12509, 0.36598E+03
    5500,2026-02-04T11:48:38.760+01:00, 0.842E-02,  54.26538, 0.37277E+03
    5600,2026-02-04T11:48:45.475+01:00, 0.107E-01,  55.46484, 0.37948E+03
    5700,2026-02-04T11:48:52.144+01:00, 0.144E-01,  56.72108, 0.38614E+03
    5800,2026-02-04T11:48:58.861+01:00, 0.124E-01,  57.98477, 0.39285E+03
    5900,2026-02-04T11:49:05.534+01:00, 0.126E-01,  59.27910, 0.39952E+03
    6000,2026-02-04T11:49:12.361+01:00, 0.129E-01,  60.48913, 0.40634E+03
    6100,2026-02-04T11:49:19.020+01:00, 0.140E-01,  61.79377, 0.41300E+03
    6200,2026-02-04T11:49:25.737+01:00, 0.126E-01,  63.04710, 0.41971E+03
    6300,2026-02-04T11:49:32.520+01:00, 0.743E-02,  64.17441, 0.42649E+03
    6400,2026-02-04T11:49:39.230+01:00, 0.137E-01,  65.42552, 0.43320E+03
    6500,2026-02-04T11:49:45.873+01:00, 0.146E-01,  66.67461, 0.43984E+03
    6600,2026-02-04T11:49:52.578+01:00, 0.144E-01,  67.98270, 0.44654E+03
    6700,2026-02-04T11:49:59.344+01:00, 0.115E-01,  69.29733, 0.45330E+03
    6800,2026-02-04T11:50:06.027+01:00, 0.143E-01,  70.67763, 0.45998E+03
    6900,2026-02-04T11:50:12.736+01:00, 0.151E-01,  71.97489, 0.46669E+03
    7000,2026-02-04T11:50:19.469+01:00, 0.152E-01,  73.48911, 0.47342E+03
    7100,2026-02-04T11:50:26.125+01:00, 0.155E-01,  74.89443, 0.48007E+03
    7200,2026-02-04T11:50:32.824+01:00, 0.119E-01,  76.39046, 0.48677E+03
    7300,2026-02-04T11:50:39.559+01:00, 0.155E-01,  77.86204, 0.49349E+03
    7400,2026-02-04T11:50:46.237+01:00, 0.155E-01,  79.31682, 0.50017E+03
    7500,2026-02-04T11:50:53.001+01:00, 0.131E-01,  80.80391, 0.50692E+03
    7600,2026-02-04T11:50:59.699+01:00, 0.171E-01,  82.25652, 0.51362E+03
    7700,2026-02-04T11:51:06.456+01:00, 0.149E-01,  83.53970, 0.52037E+03
    7800,2026-02-04T11:51:13.209+01:00, 0.162E-01,  85.12022, 0.52712E+03
    7900,2026-02-04T11:51:19.969+01:00, 0.126E-01,  86.66215, 0.53387E+03
    8000,2026-02-04T11:51:26.702+01:00, 0.154E-01,  88.09876, 0.54060E+03
    8100,2026-02-04T11:51:33.460+01:00, 0.172E-01,  89.67131, 0.54735E+03
    8200,2026-02-04T11:51:40.270+01:00, 0.135E-01,  91.21504, 0.55416E+03
    8300,2026-02-04T11:51:47.020+01:00, 0.162E-01,  92.64689, 0.56090E+03
    8400,2026-02-04T11:51:53.774+01:00, 0.247E-01,  94.32114, 0.56765E+03
    8500,2026-02-04T11:52:00.685+01:00, 0.425E-01,  97.60520, 0.57456E+03
    8600,2026-02-04T11:52:07.860+01:00, 0.498E-01, 102.94063, 0.58168E+03
    8700,2026-02-04T11:52:16.281+01:00, 0.573E-01, 108.06538, 0.58997E+03
    8800,2026-02-04T11:52:23.118+01:00, 0.597E-01, 114.36483, 0.59680E+03
    8891,2026-02-04T11:52:29.341+01:00, 0.528E-01, 120.00000, 0.60303E+03
