,,s,s,s
    9300,2026-02-04T11:17:43.195+01:00, 0.136E-01,  95.66084, 0.64822E+03
    9400,2026-02-04T11:17:51.938+01:00, 0.123E-01,  96.86360, 0.65672E+03
    9500,2026-02-04T11:18:03.145+01:00, 0.103E-01,  98.13495, 0.66707E+03
    9600,2026-02-04T11:18:11.359+01:00, 0.132E-01,  99.42410, 0.67514E+03
    9700,2026-02-04T11:18:18.313+01:00, 0.106E-01, 100.66036, 0.68208E+03
    9800,2026-02-04T11:18:25.211+01:00, 0.149E-01, 101.97070, 0.68895E+03
    9900,2026-02-04T11:18:32.060+01:00, 0.132E-01, 103.13031, 0.69580E+03
   10000,2026-02-04T11:18:38.957+01:00, 0.132E-01, 104.49399, 0.70269E+03
   10100,2026-02-04T11:18:45.805+01:00, 0.164E-01, 106.00622, 0.70954E+03
   10200,2026-02-04T11:18:52.731+01:00, 0.180E-01, 107.67420, 0.71646E+03
   10300,2026-02-04T11:18:59.602+01:00, 0.210E-01, 109.44641, 0.72333E+03
   10400,2026-02-04T11:19:06.511+01:00, 0.247E-01, 111.44326, 0.73023E+03
   10500,2026-02-04T11:19:13.534+01:00, 0.400E-01, 114.81073, 0.73725E+03
   10600,2026-02-04T11:19:20.406+01:00, 0.482E-01, 119.55532, 0.74412E+03
   10609,2026-02-04T11:19:21.024+01:00, 0.360E-02, 120.00000, 0.74473E+03
