,,s,s,s
    1700,2026-02-04T11:21:18.775+01:00, 0.772E-02,  13.55857, 0.11672E+03
    1800,2026-02-04T11:21:25.491+01:00, 0.871E-02,  14.43215, 0.12341E+03
    1900,2026-02-04T11:21:32.055+01:00, 0.928E-02,  15.34036, 0.12996E+03
    2000,2026-02-04T11:21:38.629+01:00, 0.900E-02,  16.21008, 0.13653E+03
    2100,2026-02-04T11:21:45.358+01:00, 0.768E-02,  17.07387, 0.14323E+03
    2200,2026-02-04T11:21:52.016+01:00, 0.926E-02,  17.94981, 0.14988E+03
    2300,2026-02-04T11:21:58.711+01:00, 0.779E-02,  18.81473, 0.15655E+03
    2400,2026-02-04T11:22:05.303+01:00, 0.880E-02,  19.71410, 0.16312E+03
    2500,2026-02-04T11:22:11.934+01:00, 0.889E-02,  20.60859, 0.16974E+03
    2600,2026-02-04T11:22:18.513+01:00, 0.863E-02,  21.55752, 0.17630E+03
    2700,2026-02-04T11:22:25.217+01:00, 0.882E-02,  22.46448, 0.18298E+03
    2800,2026-02-04T11:22:31.763+01:00, 0.995E-02,  23.37653, 0.18952E+03
    2900,2026-02-04T11:22:38.388+01:00, 0.968E-02,  24.33342, 0.19612E+03
    3000,2026-02-04T11:22:44.950+01:00, 0.997E-02,  25.23863, 0.20266E+03
    3100,2026-02-04T11:22:51.553+01:00, 0.971E-02,  26.15688, 0.20923E+03
    3200,2026-02-04T11:22:58.130+01:00, 0.885E-02,  27.09815, 0.21580E+03
    3300,2026-02-04T11:23:04.649+01:00, 0.965E-02,  28.05441, 0.22230E+03
    3400,2026-02-04T11:23:11.256+01:00, 0.975E-02,  28.98912, 0.22890E+03
    3500,2026-02-04T11:23:17.815+01:00, 0.101E-01,  29.97651, 0.23544E+03
    3600,2026-02-04T11:23:24.514+01:00, 0.106E-01,  30.94832, 0.24212E+03
    3700,2026-02-04T11:23:31.262+01:00, 0.994E-02,  31.91465, 0.24880E+03
    3800,2026-02-04T11:23:37.867+01:00, 0.106E-01,  32.91313, 0.25538E+03
    3900,2026-02-04T11:23:44.473+01:00, 0.871E-02,  33.90825, 0.26196E+03
    4000,2026-02-04T11:23:51.350+01:00, 0.109E-01,  34.86311, 0.26877E+03
    4100,2026-02-04T11:23:58.540+01:00, 0.958E-02,  35.93065, 0.27590E+03
    4200,2026-02-04T11:24:05.771+01:00, 0.997E-02,  36.86399, 0.28307E+03
    4300,2026-02-04T11:24:12.356+01:00, 0.124E-01,  37.89154, 0.28965E+03
    4400,2026-02-04T11:24:18.918+01:00, 0.105E-01,  38.87948, 0.29620E+03
    4500,2026-02-04T11:24:25.483+01:00, 0.104E-01,  39.91897, 0.30277E+03
    4600,2026-02-04T11:24:32.129+01:00, 0.114E-01,  40.95569, 0.30940E+03
    4700,2026-02-04T11:24:38.635+01:00, 0.102E-01,  42.04513, 0.31590E+03
    4800,2026-02-04T11:24:45.191+01:00, 0.955E-02,  43.05748, 0.32245E+03
    4900,2026-02-04T11:24:51.841+01:00, 0.113E-01,  44.06956, 0.32909E+03
    5000,2026-02-04T11:24:58.469+01:00, 0.114E-01,  45.15605, 0.33570E+03
    5100,2026-02-04T11:25:05.064+01:00, 0.107E-01,  46.26122, 0.34229E+03
    5200,2026-02-04T11:25:11.795+01:00, 0.108E-01,  47.39012, 0.34899E+03
    5300,2026-02-04T11:25:18.470+01:00, 0.110E-01,  48.47267, 0.35566E+03
    5400,2026-02-04T11:25:25.064+01:00, 0.108E-01,  49.54473, 0.36224E+03
    5500,2026-02-04T11:25:31.694+01:00, 0.115E-01,  50.71209, 0.36887E+03
    5600,2026-02-04T11:25:38.375+01:00, 0.109E-01,  51.76696, 0.37554E+03
    5700,2026-02-04T11:25:45.136+01:00, 0.102E-01,  52.81258, 0.38228E+03
    5800,2026-02-04T11:25:51.845+01:00, 0.113E-01,  53.91027, 0.38896E+03
    5900,2026-02-04T11:25:58.592+01:00, 0.105E-01,  55.02060, 0.39569E+03
    6000,2026-02-04T11:26:05.347+01:00, 0.113E-01,  56.18364, 0.40243E+03
    6100,2026-02-04T11:26:12.004+01:00, 0.952E-02,  57.28476, 0.40907E+03
    6200,2026-02-04T11:26:18.670+01:00, 0.103E-01,  58.31319, 0.41572E+03
    6300,2026-02-04T11:26:25.455+01:00, 0.134E-01,  59.51158, 0.42247E+03
    6400,2026-02-04T11:26:32.137+01:00, 0.128E-01,  60.69503, 0.42915E+03
    6500,2026-02-04T11:26:38.877+01:00, 0.123E-01,  61.91819, 0.43587E+03
    6600,2026-02-04T11:26:45.596+01:00, 0.105E-01,  63.18025, 0.44257E+03
    6700,2026-02-04T11:26:52.709+01:00, 0.818E-02,  64.27873, 0.44964E+03
    6800,2026-02-04T11:27:00.001+01:00, 0.112E-01,  65.45902, 0.45689E+03
    6900,2026-02-04T11:27:07.406+01:00, 0.121E-01,  66.51809, 0.46424E+03
    7000,2026-02-04T11:27:15.196+01:00, 0.115E-01,  67.75304, 0.47193E+03
    7100,2026-02-04T11:27:22.132+01:00, 0.113E-01,  68.95685, 0.47884E+03
    7200,2026-02-04T11:27:28.977+01:00, 0.102E-01,  70.11686, 0.48568E+03
    7300,2026-02-04T11:27:35.712+01:00, 0.138E-01,  71.30445, 0.49241E+03
    7400,2026-02-04T11:27:42.504+01:00, 0.143E-01,  72.49507, 0.49918E+03
    7500,2026-02-04T11:27:49.467+01:00, 0.128E-01,  73.81312, 0.50611E+03
    7600,2026-02-04T11:27:57.001+01:00, 0.125E-01,  75.02684, 0.51357E+03
    7700,2026-02-04T11:28:04.664+01:00, 0.133E-01,  76.35102, 0.52114E+03
    7800,2026-02-04T11:28:13.120+01:00, 0.144E-01,  77.60409, 0.52940E+03
    7900,2026-02-04T11:28:21.444+01:00, 0.116E-01,  78.81115, 0.53758E+03
    8000,2026-02-04T11:28:28.762+01:00, 0.125E-01,  80.03503, 0.54486E+03
    8100,2026-02-04T11:28:35.698+01:00, 0.102E-01,  81.15858, 0.55178E+03
    8200,2026-02-04T11:28:42.491+01:00, 0.138E-01,  82.27459, 0.55857E+03
    8300,2026-02-04T11:28:49.288+01:00, 0.119E-01,  83.55359, 0.56536E+03
    8400,2026-02-04T11:28:56.092+01:00, 0.135E-01,  84.86857, 0.57216E+03
    8500,2026-02-04T11:29:02.863+01:00, 0.122E-01,  86.27225, 0.57892E+03
    8600,2026-02-04T11:29:09.584+01:00, 0.139E-01,  87.47507, 0.58565E+03
    8700,2026-02-04T11:29:16.439+01:00, 0.118E-01,  88.84874, 0.59249E+03
    8800,2026-02-04T11:29:23.111+01:00, 0.139E-01,  90.12219, 0.59916E+03
    8900,2026-02-04T11:29:30.017+01:00, 0.106E-01,  91.25492, 0.60604E+03
    9000,2026-02-04T11:29:36.866+01:00, 0.122E-01,  92.56407, 0.61288E+03
    9100,2026-02-04T11:29:43.686+01:00, 0.113E-01,  93.82102, 0.61968E+03
    9200,2026-02-04T11:29:50.418+01:00, 0.139E-01,  94.97250, 0.62640E+03
    9300,2026-02-04T11:29:57.301+01:00, 0.116E-01,  96.25205, 0.63327E+03
    9400,2026-02-04T11:30:04.240+01:00, 0.116E-01,  97.42996, 0.64018E+03
    9500,2026-02-04T11:30:11.119+01:00, 0.111E-01,  98.65385, 0.64704E+03
    9600,2026-02-04T11:30:18.339+01:00, 0.119E-01,  99.92480, 0.65422E+03
    9700,2026-02-04T11:30:25.571+01:00, 0.130E-01, 101.18768, 0.66140E+03
    9800,2026-02-04T11:30:32.397+01:00, 0.152E-01, 102.55023, 0.66822E+03
    9900,2026-02-04T11:30:39.270+01:00, 0.144E-01, 103.96096, 0.67509E+03
   10000,2026-02-04T11:30:46.088+01:00, 0.159E-01, 105.42964, 0.68190E+03
   10100,2026-02-04T11:30:52.913+01:00, 0.172E-01, 107.21431, 0.68872E+03
   10200,2026-02-04T11:30:59.815+01:00, 0.340E-01, 109.37184, 0.69562E+03
   10300,2026-02-04T11:31:06.817+01:00, 0.453E-01, 113.23829, 0.70261E+03
   10400,2026-02-04T11:31:13.750+01:00, 0.526E-01, 118.18594, 0.70953E+03
   10431,2026-02-04T11:31:15.875+01:00, 0.238E-01, 120.00000, 0.71165E+03
