s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 7.5643592E+000, 1.0036859E+003, 0.0000000E+000,-4.1335895E+002,-1.6653999E-001,-1.2869252E+002,-3.4505411E-002, 1.7597937E+002, 0.0000000E+000, 6.4477175E+002, 6.3741274E+002, 0.0000000E+000, 1.9830743E-002, 0.0000000E+000, 4.6054387E+004
 7.6832161E+000, 9.2072720E+002, 0.0000000E+000,-3.9528048E+002,-9.6783038E-002,-1.2951494E+002,-3.3760041E-002, 1.4691602E+002, 0.0000000E+000, 5.4585117E+002, 5.4271725E+002, 0.0000000E+000, 1.9830745E-002, 0.0000000E+000, 4.6688134E+004
 7.8060870E+000, 9.8699620E+002, 0.0000000E+000,-3.9441485E+002,-1.3151349E-001,-1.3200650E+002,-3.2795772E-002, 1.6858405E+002, 0.0000000E+000, 6.2055938E+002, 6.2899459E+002, 0.0000000E+000, 1.9830747E-002, 0.0000000E+000, 4.7432456E+004
 7.9229407E+000, 1.0413177E+003, 0.0000000E+000,-4.2763987E+002,-1.3922413E-001,-1.3437311E+002,-3.0833346E-002, 1.7795032E+002, 0.0000000E+000, 6.6036466E+002, 6.5708497E+002, 0.0000000E+000, 1.9830749E-002, 0.0000000E+000, 4.8187253E+004
 8.0439110E+000, 9.1006175E+002, 0.0000000E+000,-3.9987600E+002,-1.2577992E-001,-1.3624278E+002,-3.0747554E-002, 1.4319686E+002, 0.0000000E+000, 5.2327671E+002, 5.1698330E+002, 0.0000000E+000, 1.9830750E-002, 0.0000000E+000, 4.8818590E+004
 8.1654301E+000, 8.5660719E+002, 0.0000000E+000,-3.7748014E+002,-8.7406121E-002,-1.3710279E+002,-3.2685823E-002, 1.3108299E+002, 0.0000000E+000, 4.7674706E+002, 4.7298715E+002, 0.0000000E+000, 1.9830751E-002, 0.0000000E+000, 4.9398132E+004
 8.2847366E+000, 7.5916902E+002, 0.0000000E+000,-3.7847337E+002,-2.3554900E-001,-1.3698328E+002,-3.5301755E-002, 9.8172420E+001, 0.0000000E+000, 3.4053555E+002, 3.4161394E+002, 0.0000000E+000, 1.9830752E-002, 0.0000000E+000, 4.9821144E+004
 8.4062519E+000, 8.9444922E+002, 0.0000000E+000,-4.1058188E+002,-2.2773156E-001,-1.3842847E+002,-3.4849929E-002, 1.3163613E+002, 0.0000000E+000, 4.6980077E+002, 4.7681241E+002, 0.0000000E+000, 1.9830752E-002, 0.0000000E+000, 5.0395438E+004
 8.5277672E+000, 9.2795587E+002, 0.0000000E+000,-4.3667188E+002,-2.7050390E-001,-1.3723123E+002,-3.5783267E-002, 1.3495461E+002, 0.0000000E+000, 4.9067885E+002, 4.8870109E+002, 0.0000000E+000, 1.9830753E-002, 0.0000000E+000, 5.0990078E+004
 8.6400805E+000, 1.0691441E+003, 0.0000000E+000,-4.5188153E+002,-1.2053776E-001,-1.3656637E+002,-3.5854729E-002, 1.7653745E+002, 0.0000000E+000, 6.4451771E+002, 6.5707725E+002, 0.0000000E+000, 1.9830753E-002, 0.0000000E+000, 5.1699964E+004
