,,s,s,s
    6300,2026-02-04T10:48:46.973+01:00, 0.101E-01,  57.32027, 0.42050E+03
    6400,2026-02-04T10:48:53.524+01:00, 0.115E-01,  58.37586, 0.42705E+03
    6500,2026-02-04T10:49:00.185+01:00, 0.102E-01,  59.44196, 0.43369E+03
    6600,2026-02-04T10:49:06.741+01:00, 0.124E-01,  60.55644, 0.44024E+03
    6700,2026-02-04T10:49:13.458+01:00, 0.671E-02,  61.61313, 0.44695E+03
    6800,2026-02-04T10:49:20.138+01:00, 0.955E-02,  62.63035, 0.45362E+03
    6900,2026-02-04T10:49:26.752+01:00, 0.114E-01,  63.72695, 0.46023E+03
    7000,2026-02-04T10:49:33.388+01:00, 0.107E-01,  64.83787, 0.46686E+03
    7100,2026-02-04T10:49:40.335+01:00, 0.113E-01,  65.94076, 0.47376E+03
    7200,2026-02-04T10:49:47.725+01:00, 0.110E-01,  66.99641, 0.48109E+03
    7300,2026-02-04T10:49:55.319+01:00, 0.121E-01,  68.11408, 0.48860E+03
    7400,2026-02-04T10:50:03.057+01:00, 0.101E-01,  69.20172, 0.49624E+03
    7500,2026-02-04T10:50:10.809+01:00, 0.111E-01,  70.40470, 0.50388E+03
    7600,2026-02-04T10:50:17.922+01:00, 0.989E-02,  71.49680, 0.51096E+03
    7700,2026-02-04T10:50:24.657+01:00, 0.113E-01,  72.69282, 0.51769E+03
    7800,2026-02-04T10:50:31.293+01:00, 0.114E-01,  73.84557, 0.52432E+03
    7900,2026-02-04T10:50:37.979+01:00, 0.106E-01,  74.93379, 0.53100E+03
    8000,2026-02-04T10:50:44.580+01:00, 0.111E-01,  76.05657, 0.53760E+03
    8100,2026-02-04T10:50:51.331+01:00, 0.109E-01,  77.10769, 0.54434E+03
    8200,2026-02-04T10:50:58.031+01:00, 0.114E-01,  78.25539, 0.55103E+03
    8300,2026-02-04T10:51:04.673+01:00, 0.122E-01,  79.45600, 0.55766E+03
    8400,2026-02-04T10:51:11.354+01:00, 0.129E-01,  80.72247, 0.56433E+03
    8500,2026-02-04T10:51:18.010+01:00, 0.129E-01,  81.93119, 0.57098E+03
    8600,2026-02-04T10:51:24.763+01:00, 0.109E-01,  83.12037, 0.57772E+03
    8700,2026-02-04T10:51:31.496+01:00, 0.112E-01,  84.31977, 0.58445E+03
    8800,2026-02-04T10:51:38.228+01:00, 0.108E-01,  85.46903, 0.59116E+03
    8900,2026-02-04T10:51:44.931+01:00, 0.119E-01,  86.70810, 0.59786E+03
    9000,2026-02-04T10:51:51.652+01:00, 0.110E-01,  87.91413, 0.60457E+03
    9100,2026-02-04T10:51:58.296+01:00, 0.112E-01,  89.17976, 0.61121E+03
    9200,2026-02-04T10:52:04.993+01:00, 0.131E-01,  90.37031, 0.61789E+03
    9300,2026-02-04T10:52:11.877+01:00, 0.127E-01,  91.62915, 0.62475E+03
    9400,2026-02-04T10:52:19.132+01:00, 0.120E-01,  92.89166, 0.63194E+03
    9500,2026-02-04T10:52:26.645+01:00, 0.125E-01,  94.25746, 0.63938E+03
    9600,2026-02-04T10:52:34.882+01:00, 0.118E-01,  95.57531, 0.64748E+03
    9700,2026-02-04T10:52:42.351+01:00, 0.119E-01,  96.84079, 0.65487E+03
    9800,2026-02-04T10:52:49.060+01:00, 0.117E-01,  98.13695, 0.66158E+03
    9900,2026-02-04T10:52:55.814+01:00, 0.107E-01,  99.53413, 0.66832E+03
   10000,2026-02-04T10:53:02.632+01:00, 0.152E-01, 100.96716, 0.67513E+03
   10100,2026-02-04T10:53:09.650+01:00, 0.101E-01, 102.17084, 0.68214E+03
   10200,2026-02-04T10:53:16.527+01:00, 0.157E-01, 103.65320, 0.68900E+03
   10300,2026-02-04T10:53:23.424+01:00, 0.154E-01, 105.06442, 0.69589E+03
   10400,2026-02-04T10:53:30.244+01:00, 0.141E-01, 106.38838, 0.70269E+03
   10500,2026-02-04T10:53:36.963+01:00, 0.123E-01, 107.66487, 0.70940E+03
   10600,2026-02-04T10:53:43.716+01:00, 0.131E-01, 108.94748, 0.71612E+03
   10700,2026-02-04T10:53:50.400+01:00, 0.115E-01, 110.14816, 0.72280E+03
   10800,2026-02-04T10:53:57.209+01:00, 0.965E-02, 111.37120, 0.72960E+03
   10900,2026-02-04T10:54:03.977+01:00, 0.157E-01, 112.63595, 0.73636E+03
   11000,2026-02-04T10:54:10.767+01:00, 0.129E-01, 114.05666, 0.74314E+03
   11100,2026-02-04T10:54:17.570+01:00, 0.160E-01, 115.50842, 0.74993E+03
   11200,2026-02-04T10:54:24.393+01:00, 0.185E-01, 117.50351, 0.75675E+03
   11300,2026-02-04T10:54:31.302+01:00, 0.169E-01, 119.26648, 0.76364E+03
   11341,2026-02-04T10:54:34.208+01:00, 0.296E-02, 120.00000, 0.76654E+03
