,,s,s,s
    9500,2026-02-04T10:25:25.209+01:00, 0.103E-01,  89.97709, 0.63428E+03
    9600,2026-02-04T10:25:31.913+01:00, 0.118E-01,  91.05507, 0.64098E+03
    9700,2026-02-04T10:25:38.690+01:00, 0.119E-01,  92.21777, 0.64774E+03
    9800,2026-02-04T10:25:45.628+01:00, 0.968E-02,  93.33873, 0.65466E+03
    9900,2026-02-04T10:25:52.848+01:00, 0.115E-01,  94.47176, 0.66183E+03
   10000,2026-02-04T10:26:00.121+01:00, 0.110E-01,  95.58766, 0.66905E+03
   10100,2026-02-04T10:26:07.433+01:00, 0.102E-01,  96.76930, 0.67631E+03
   10200,2026-02-04T10:26:14.843+01:00, 0.134E-01,  97.90169, 0.68367E+03
   10300,2026-02-04T10:26:21.836+01:00, 0.119E-01,  98.99573, 0.69063E+03
   10400,2026-02-04T10:26:28.585+01:00, 0.103E-01, 100.11414, 0.69737E+03
   10500,2026-02-04T10:26:35.352+01:00, 0.118E-01, 101.24564, 0.70413E+03
   10600,2026-02-04T10:26:42.159+01:00, 0.110E-01, 102.42392, 0.71092E+03
   10700,2026-02-04T10:26:48.868+01:00, 0.106E-01, 103.58483, 0.71763E+03
   10800,2026-02-04T10:26:55.636+01:00, 0.105E-01, 104.74644, 0.72439E+03
   10900,2026-02-04T10:27:02.594+01:00, 0.104E-01, 105.94138, 0.73133E+03
   11000,2026-02-04T10:27:09.486+01:00, 0.126E-01, 107.13784, 0.73821E+03
   11100,2026-02-04T10:27:16.317+01:00, 0.129E-01, 108.34139, 0.74503E+03
   11200,2026-02-04T10:27:23.012+01:00, 0.123E-01, 109.53245, 0.75172E+03
   11300,2026-02-04T10:27:30.048+01:00, 0.125E-01, 110.72031, 0.75874E+03
   11400,2026-02-04T10:27:37.040+01:00, 0.134E-01, 111.98761, 0.76572E+03
   11500,2026-02-04T10:27:43.820+01:00, 0.128E-01, 113.24624, 0.77250E+03
   11600,2026-02-04T10:27:50.717+01:00, 0.134E-01, 114.48202, 0.77939E+03
   11700,2026-02-04T10:27:57.730+01:00, 0.149E-01, 115.72586, 0.78639E+03
   11800,2026-02-04T10:28:04.695+01:00, 0.151E-01, 117.01146, 0.79334E+03
   11900,2026-02-04T10:28:11.704+01:00, 0.137E-01, 118.33038, 0.80034E+03
   12000,2026-02-04T10:28:18.670+01:00, 0.140E-01, 119.64384, 0.80729E+03
   12032,2026-02-04T10:28:20.912+01:00, 0.399E-02, 120.00000, 0.80953E+03
