,,s,s,s
    3200,2026-02-04T13:27:59.585+01:00, 0.802E-02,  28.28432, 0.21579E+03
    3300,2026-02-04T13:28:06.202+01:00, 0.943E-02,  29.20593, 0.22240E+03
    3400,2026-02-04T13:28:13.078+01:00, 0.969E-02,  30.19581, 0.22921E+03
    3500,2026-02-04T13:28:19.669+01:00, 0.101E-01,  31.17140, 0.23579E+03
    3600,2026-02-04T13:28:26.467+01:00, 0.101E-01,  32.16774, 0.24254E+03
    3700,2026-02-04T13:28:33.233+01:00, 0.763E-02,  33.05032, 0.24929E+03
    3800,2026-02-04T13:28:39.760+01:00, 0.971E-02,  33.95836, 0.25580E+03
    3900,2026-02-04T13:28:46.181+01:00, 0.918E-02,  34.93528, 0.26222E+03
    4000,2026-02-04T13:28:52.560+01:00, 0.111E-01,  35.96914, 0.26859E+03
    4100,2026-02-04T13:28:59.161+01:00, 0.874E-02,  36.94939, 0.27518E+03
    4200,2026-02-04T13:29:05.753+01:00, 0.108E-01,  37.94219, 0.28175E+03
    4300,2026-02-04T13:29:12.138+01:00, 0.939E-02,  38.90274, 0.28814E+03
    4400,2026-02-04T13:29:18.763+01:00, 0.108E-01,  39.92119, 0.29472E+03
    4500,2026-02-04T13:29:25.440+01:00, 0.105E-01,  40.90145, 0.30139E+03
    4600,2026-02-04T13:29:32.116+01:00, 0.974E-02,  41.88547, 0.30804E+03
    4700,2026-02-04T13:29:38.756+01:00, 0.875E-02,  42.90049, 0.31465E+03
    4800,2026-02-04T13:29:45.388+01:00, 0.853E-02,  43.89551, 0.32127E+03
    4900,2026-02-04T13:29:52.297+01:00, 0.855E-02,  44.88797, 0.32812E+03
    5000,2026-02-04T13:29:59.272+01:00, 0.944E-02,  45.87180, 0.33498E+03
    5100,2026-02-04T13:30:07.081+01:00, 0.103E-01,  46.79474, 0.34255E+03
    5200,2026-02-04T13:30:14.542+01:00, 0.106E-01,  47.83554, 0.34980E+03
    5300,2026-02-04T13:30:21.525+01:00, 0.867E-02,  48.80328, 0.35675E+03
    5400,2026-02-04T13:30:28.550+01:00, 0.103E-01,  49.79895, 0.36373E+03
    5500,2026-02-04T13:30:35.340+01:00, 0.109E-01,  50.86819, 0.37050E+03
    5600,2026-02-04T13:30:42.212+01:00, 0.117E-01,  51.86707, 0.37736E+03
    5700,2026-02-04T13:30:48.999+01:00, 0.799E-02,  52.89631, 0.38414E+03
    5800,2026-02-04T13:30:55.977+01:00, 0.875E-02,  53.89175, 0.39108E+03
    5900,2026-02-04T13:31:02.684+01:00, 0.112E-01,  54.90404, 0.39777E+03
    6000,2026-02-04T13:31:09.356+01:00, 0.107E-01,  55.89643, 0.40443E+03
    6100,2026-02-04T13:31:15.988+01:00, 0.979E-02,  56.93719, 0.41106E+03
    6200,2026-02-04T13:31:22.970+01:00, 0.795E-02,  57.89379, 0.41800E+03
    6300,2026-02-04T13:31:29.804+01:00, 0.110E-01,  58.83636, 0.42482E+03
    6400,2026-02-04T13:31:36.560+01:00, 0.904E-02,  59.79989, 0.43157E+03
    6500,2026-02-04T13:31:43.444+01:00, 0.842E-02,  60.73975, 0.43844E+03
    6600,2026-02-04T13:31:50.192+01:00, 0.955E-02,  61.75736, 0.44519E+03
    6700,2026-02-04T13:31:57.044+01:00, 0.952E-02,  62.75718, 0.45201E+03
    6800,2026-02-04T13:32:03.884+01:00, 0.114E-01,  63.80205, 0.45883E+03
    6900,2026-02-04T13:32:10.624+01:00, 0.102E-01,  64.80789, 0.46556E+03
    7000,2026-02-04T13:32:17.429+01:00, 0.111E-01,  65.74250, 0.47236E+03
    7100,2026-02-04T13:32:24.119+01:00, 0.929E-02,  66.76354, 0.47905E+03
    7200,2026-02-04T13:32:30.820+01:00, 0.114E-01,  67.78194, 0.48574E+03
    7300,2026-02-04T13:32:37.949+01:00, 0.833E-02,  68.83021, 0.49277E+03
    7400,2026-02-04T13:32:44.940+01:00, 0.831E-02,  69.84384, 0.49970E+03
    7500,2026-02-04T13:32:51.743+01:00, 0.118E-01,  70.82602, 0.50643E+03
    7600,2026-02-04T13:32:58.513+01:00, 0.905E-02,  71.80297, 0.51316E+03
    7700,2026-02-04T13:33:05.118+01:00, 0.959E-02,  72.72608, 0.51976E+03
    7800,2026-02-04T13:33:11.988+01:00, 0.965E-02,  73.67424, 0.52658E+03
    7900,2026-02-04T13:33:18.773+01:00, 0.105E-01,  74.71178, 0.53333E+03
    8000,2026-02-04T13:33:25.533+01:00, 0.905E-02,  75.73632, 0.54008E+03
    8100,2026-02-04T13:33:32.536+01:00, 0.942E-02,  76.76512, 0.54704E+03
    8200,2026-02-04T13:33:39.493+01:00, 0.985E-02,  77.73759, 0.55396E+03
    8300,2026-02-04T13:33:46.412+01:00, 0.856E-02,  78.71340, 0.56083E+03
    8400,2026-02-04T13:33:53.033+01:00, 0.106E-01,  79.70894, 0.56744E+03
    8500,2026-02-04T13:33:59.552+01:00, 0.100E-01,  80.71275, 0.57396E+03
    8600,2026-02-04T13:34:06.027+01:00, 0.113E-01,  81.74881, 0.58042E+03
    8700,2026-02-04T13:34:12.969+01:00, 0.109E-01,  82.78850, 0.58726E+03
    8800,2026-02-04T13:34:20.566+01:00, 0.103E-01,  83.82461, 0.59473E+03
    8900,2026-02-04T13:34:27.349+01:00, 0.992E-02,  84.82706, 0.60148E+03
    9000,2026-02-04T13:34:34.252+01:00, 0.114E-01,  85.82184, 0.60812E+03
    9100,2026-02-04T13:34:41.400+01:00, 0.812E-02,  86.82315, 0.61515E+03
    9200,2026-02-04T13:34:48.486+01:00, 0.106E-01,  87.85133, 0.62206E+03
    9300,2026-02-04T13:34:55.080+01:00, 0.108E-01,  88.88446, 0.62865E+03
    9400,2026-02-04T13:35:01.649+01:00, 0.919E-02,  89.92638, 0.63519E+03
    9500,2026-02-04T13:35:08.038+01:00, 0.877E-02,  91.00897, 0.64158E+03
    9600,2026-02-04T13:35:14.505+01:00, 0.108E-01,  92.03429, 0.64803E+03
    9700,2026-02-04T13:35:20.871+01:00, 0.100E-01,  93.08588, 0.65439E+03
    9800,2026-02-04T13:35:27.240+01:00, 0.111E-01,  94.10735, 0.66076E+03
    9900,2026-02-04T13:35:33.655+01:00, 0.111E-01,  95.13768, 0.66717E+03
   10000,2026-02-04T13:35:40.074+01:00, 0.118E-01,  96.16260, 0.67359E+03
   10100,2026-02-04T13:35:46.425+01:00, 0.938E-02,  97.18520, 0.67993E+03
   10200,2026-02-04T13:35:52.772+01:00, 0.985E-02,  98.21323, 0.68627E+03
   10300,2026-02-04T13:35:59.246+01:00, 0.102E-01,  99.20176, 0.69274E+03
   10400,2026-02-04T13:36:05.610+01:00, 0.121E-01, 100.27274, 0.69911E+03
   10500,2026-02-04T13:36:12.670+01:00, 0.118E-01, 101.26875, 0.70602E+03
   10600,2026-02-04T13:36:19.731+01:00, 0.943E-02, 102.31336, 0.71302E+03
   10700,2026-02-04T13:36:26.651+01:00, 0.113E-01, 103.36499, 0.71991E+03
   10800,2026-02-04T13:36:33.523+01:00, 0.943E-02, 104.41207, 0.72676E+03
   10900,2026-02-04T13:36:40.536+01:00, 0.923E-02, 105.46366, 0.73372E+03
   11000,2026-02-04T13:36:47.405+01:00, 0.111E-01, 106.52559, 0.74057E+03
   11100,2026-02-04T13:36:54.471+01:00, 0.107E-01, 107.54849, 0.74755E+03
   11200,2026-02-04T13:37:01.098+01:00, 0.934E-02, 108.60127, 0.75416E+03
   11300,2026-02-04T13:37:07.575+01:00, 0.109E-01, 109.67296, 0.76061E+03
   11400,2026-02-04T13:37:14.033+01:00, 0.107E-01, 110.71305, 0.76707E+03
   11500,2026-02-04T13:37:20.462+01:00, 0.947E-02, 111.79394, 0.77349E+03
   11600,2026-02-04T13:37:26.897+01:00, 0.970E-02, 112.81867, 0.77993E+03
   11700,2026-02-04T13:37:33.940+01:00, 0.112E-01, 113.90487, 0.78674E+03
   11800,2026-02-04T13:37:41.098+01:00, 0.117E-01, 115.01893, 0.79379E+03
   11900,2026-02-04T13:37:47.901+01:00, 0.918E-02, 116.04018, 0.80053E+03
   12000,2026-02-04T13:37:55.635+01:00, 0.921E-02, 117.03785, 0.80795E+03
   12100,2026-02-04T13:38:02.384+01:00, 0.112E-01, 118.09740, 0.81468E+03
   12200,2026-02-04T13:38:09.019+01:00, 0.115E-01, 119.19710, 0.82130E+03
   12275,2026-02-04T13:38:13.897+01:00, 0.289E-02, 120.00000, 0.82617E+03
