,,s,s,s
    8400,2026-02-04T10:37:51.450+01:00, 0.115E-01,  78.51826, 0.56873E+03
    8500,2026-02-04T10:37:58.094+01:00, 0.122E-01,  79.64576, 0.57536E+03
    8600,2026-02-04T10:38:04.843+01:00, 0.101E-01,  80.83628, 0.58209E+03
    8700,2026-02-04T10:38:11.533+01:00, 0.117E-01,  81.92573, 0.58878E+03
    8800,2026-02-04T10:38:18.275+01:00, 0.128E-01,  83.09236, 0.59551E+03
    8900,2026-02-04T10:38:24.962+01:00, 0.121E-01,  84.20449, 0.60219E+03
    9000,2026-02-04T10:38:31.672+01:00, 0.118E-01,  85.32709, 0.60889E+03
    9100,2026-02-04T10:38:38.354+01:00, 0.122E-01,  86.46939, 0.61556E+03
    9200,2026-02-04T10:38:45.023+01:00, 0.113E-01,  87.64098, 0.62222E+03
    9300,2026-02-04T10:38:51.788+01:00, 0.102E-01,  88.87342, 0.62897E+03
    9400,2026-02-04T10:38:58.912+01:00, 0.103E-01,  90.06965, 0.63606E+03
    9500,2026-02-04T10:39:06.568+01:00, 0.129E-01,  91.26173, 0.64364E+03
    9600,2026-02-04T10:39:14.442+01:00, 0.125E-01,  92.47628, 0.65141E+03
    9700,2026-02-04T10:39:21.458+01:00, 0.116E-01,  93.63342, 0.65838E+03
    9800,2026-02-04T10:39:28.221+01:00, 0.135E-01,  94.82222, 0.66514E+03
    9900,2026-02-04T10:39:35.021+01:00, 0.100E-01,  96.04096, 0.67194E+03
   10000,2026-02-04T10:39:41.916+01:00, 0.130E-01,  97.30923, 0.67882E+03
   10100,2026-02-04T10:39:48.637+01:00, 0.143E-01,  98.59396, 0.68554E+03
   10200,2026-02-04T10:39:55.395+01:00, 0.108E-01,  99.92246, 0.69229E+03
   10300,2026-02-04T10:40:02.141+01:00, 0.121E-01, 101.09274, 0.69903E+03
   10400,2026-02-04T10:40:08.861+01:00, 0.131E-01, 102.35705, 0.70574E+03
   10500,2026-02-04T10:40:15.821+01:00, 0.125E-01, 103.63793, 0.71267E+03
   10600,2026-02-04T10:40:23.566+01:00, 0.126E-01, 104.88492, 0.72033E+03
   10700,2026-02-04T10:40:31.438+01:00, 0.110E-01, 106.05491, 0.72810E+03
   10800,2026-02-04T10:40:38.732+01:00, 0.150E-01, 107.31336, 0.73536E+03
   10900,2026-02-04T10:40:45.627+01:00, 0.125E-01, 108.60701, 0.74224E+03
   11000,2026-02-04T10:40:52.459+01:00, 0.132E-01, 109.88086, 0.74907E+03
   11100,2026-02-04T10:40:59.326+01:00, 0.151E-01, 111.23582, 0.75592E+03
   11200,2026-02-04T10:41:06.093+01:00, 0.141E-01, 112.59788, 0.76268E+03
   11300,2026-02-04T10:41:13.008+01:00, 0.116E-01, 113.90736, 0.76958E+03
   11400,2026-02-04T10:41:19.791+01:00, 0.128E-01, 115.23982, 0.77635E+03
   11500,2026-02-04T10:41:26.623+01:00, 0.104E-01, 116.55333, 0.78317E+03
   11600,2026-02-04T10:41:33.466+01:00, 0.114E-01, 117.78492, 0.79001E+03
   11700,2026-02-04T10:41:40.313+01:00, 0.133E-01, 119.04619, 0.79685E+03
   11773,2026-02-04T10:41:45.283+01:00, 0.114E-01, 120.00000, 0.80180E+03
