s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 2.3110514E+001, 5.0262717E+002, 0.0000000E+000,-2.3704221E+002,-6.1882270E-002,-1.2715215E+002,-2.9186913E-002, 5.2339947E+001, 0.0000000E+000, 1.9111004E+002, 1.9068168E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0135918E+005
 2.3209885E+001, 4.8733097E+002, 0.0000000E+000,-2.3809803E+002,-6.2171167E-002,-1.2730228E+002,-2.8900410E-002, 4.6538068E+001, 0.0000000E+000, 1.7124811E+002, 1.6837766E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0157586E+005
 2.3309254E+001, 4.9232448E+002, 0.0000000E+000,-2.4020481E+002,-6.2185687E-002,-1.2743963E+002,-2.8709426E-002, 4.5505354E+001, 0.0000000E+000, 1.6762185E+002, 1.7009451E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0178407E+005
 2.3408966E+001, 5.1488835E+002, 0.0000000E+000,-2.4866034E+002,-6.2018411E-002,-1.2747718E+002,-2.8982329E-002, 5.0226633E+001, 0.0000000E+000, 1.8902435E+002, 1.8888646E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0201656E+005
 2.3503138E+001, 4.9415255E+002, 0.0000000E+000,-2.4226437E+002,-6.1902667E-002,-1.2796566E+002,-2.8993921E-002, 4.6376919E+001, 0.0000000E+000, 1.7177549E+002, 1.7020854E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0222008E+005
 2.3600634E+001, 4.8104489E+002, 0.0000000E+000,-2.3869027E+002,-6.1913496E-002,-1.2837530E+002,-2.9073695E-002, 4.2891978E+001, 0.0000000E+000, 1.5896404E+002, 1.5678030E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0241549E+005
 2.3710316E+001, 4.8358058E+002, 0.0000000E+000,-2.4125837E+002,-6.2034903E-002,-1.2858250E+002,-2.9027717E-002, 4.1659264E+001, 0.0000000E+000, 1.5364067E+002, 1.5530792E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0262646E+005
 2.3807810E+001, 5.0096041E+002, 0.0000000E+000,-2.4359113E+002,-6.2177623E-002,-1.2900979E+002,-2.8939960E-002, 4.7046671E+001, 0.0000000E+000, 1.7356926E+002, 1.7531504E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0283793E+005
 2.3901026E+001, 5.1146987E+002, 0.0000000E+000,-2.4370144E+002,-6.1713888E-002,-1.2934785E+002,-2.9139704E-002, 5.1668379E+001, 0.0000000E+000, 1.8838367E+002, 1.8999811E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0306008E+005
 2.4008625E+001, 5.0966852E+002, 0.0000000E+000,-2.4502966E+002,-6.1817284E-002,-1.2963437E+002,-2.9186863E-002, 5.1896033E+001, 0.0000000E+000, 1.8986378E+002, 1.8680951E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0332116E+005
 2.4105467E+001, 4.9092452E+002, 0.0000000E+000,-2.4060269E+002,-6.1632233E-002,-1.2980453E+002,-2.9264018E-002, 4.5071689E+001, 0.0000000E+000, 1.6396103E+002, 1.6549809E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0352320E+005
 2.4208763E+001, 5.2549462E+002, 0.0000000E+000,-2.5191938E+002,-6.1701290E-002,-1.3064961E+002,-2.9322270E-002, 5.1375349E+001, 0.0000000E+000, 1.9129471E+002, 1.9420996E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0376733E+005
 2.4303452E+001, 5.3470301E+002, 0.0000000E+000,-2.5606499E+002,-6.1953389E-002,-1.3148893E+002,-2.9221787E-002, 5.5163756E+001, 0.0000000E+000, 2.0441640E+002, 2.0222167E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0401053E+005
 2.4409975E+001, 4.9522311E+002, 0.0000000E+000,-2.4536306E+002,-6.2022400E-002,-1.3168970E+002,-2.8971097E-002, 4.5705598E+001, 0.0000000E+000, 1.6838280E+002, 1.6378496E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0423986E+005
 2.4504663E+001, 4.7397592E+002, 0.0000000E+000,-2.4241711E+002,-6.1972345E-002,-1.3184374E+002,-2.8792837E-002, 3.7449205E+001, 0.0000000E+000, 1.3788581E+002, 1.3707351E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0440530E+005
 2.4601719E+001, 4.8149587E+002, 0.0000000E+000,-2.4542054E+002,-6.1874648E-002,-1.3218916E+002,-2.9029355E-002, 3.7953532E+001, 0.0000000E+000, 1.4059857E+002, 1.4174880E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0457575E+005
 2.4705875E+001, 4.8764464E+002, 0.0000000E+000,-2.4679321E+002,-6.1560778E-002,-1.3260813E+002,-2.9341764E-002, 3.9762724E+001, 0.0000000E+000, 1.4718844E+002, 1.4791512E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0476750E+005
 2.4801538E+001, 4.9538927E+002, 0.0000000E+000,-2.4904392E+002,-6.3261301E-002,-1.3246354E+002,-2.9060247E-002, 4.1931103E+001, 0.0000000E+000, 1.5510039E+002, 1.5572059E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0495290E+005
 2.4905973E+001, 5.2424576E+002, 0.0000000E+000,-2.5576184E+002,-6.2744658E-002,-1.3240281E+002,-2.8808851E-002, 4.8958405E+001, 0.0000000E+000, 1.8180432E+002, 1.8494796E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0518763E+005
 2.5010406E+001, 5.1158396E+002, 0.0000000E+000,-2.5454706E+002,-6.1950062E-002,-1.3270187E+002,-2.8953015E-002, 4.7520797E+001, 0.0000000E+000, 1.7659201E+002, 1.7176492E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0542094E+005
 2.5110298E+001, 4.7223993E+002, 0.0000000E+000,-2.4449851E+002,-6.1741530E-002,-1.3324123E+002,-2.9274013E-002, 3.5685183E+001, 0.0000000E+000, 1.3216745E+002, 1.3009437E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0558824E+005
 2.5201866E+001, 4.8613887E+002, 0.0000000E+000,-2.5022090E+002,-6.1677458E-002,-1.3393838E+002,-2.9363830E-002, 3.6252147E+001, 0.0000000E+000, 1.3490269E+002, 1.3814070E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0574036E+005
 2.5302591E+001, 5.1616587E+002, 0.0000000E+000,-2.5816429E+002,-6.1511943E-002,-1.3424610E+002,-2.9313832E-002, 4.4221824E+001, 0.0000000E+000, 1.6490243E+002, 1.6788649E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0594480E+005
 2.5400391E+001, 5.2076239E+002, 0.0000000E+000,-2.5938933E+002,-6.1741652E-002,-1.3411808E+002,-2.9262673E-002, 4.7254492E+001, 0.0000000E+000, 1.7555301E+002, 1.7441847E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0615950E+005
 2.5500544E+001, 5.0897905E+002, 0.0000000E+000,-2.5487182E+002,-6.1813800E-002,-1.3412714E+002,-2.9172685E-002, 4.5173533E+001, 0.0000000E+000, 1.6735425E+002, 1.6506264E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0637108E+005
 2.5602922E+001, 4.9567700E+002, 0.0000000E+000,-2.5194616E+002,-6.1822637E-002,-1.3471257E+002,-2.9181854E-002, 4.0455707E+001, 0.0000000E+000, 1.4892911E+002, 1.4938297E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0656318E+005
 2.5700850E+001, 4.9427105E+002, 0.0000000E+000,-2.5339213E+002,-6.1931765E-002,-1.3541860E+002,-2.9180392E-002, 3.9455097E+001, 0.0000000E+000, 1.4613438E+002, 1.4482431E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0674328E+005
 2.5811018E+001, 4.9373614E+002, 0.0000000E+000,-2.5407631E+002,-6.2125903E-002,-1.3574926E+002,-2.8776139E-002, 3.8823151E+001, 0.0000000E+000, 1.4261653E+002, 1.4264282E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0694170E+005
 2.5908945E+001, 4.8270817E+002, 0.0000000E+000,-2.5294095E+002,-6.1996983E-002,-1.3609375E+002,-2.8993582E-002, 3.5016066E+001, 0.0000000E+000, 1.3002054E+002, 1.2859854E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0710207E+005
 2.6006872E+001, 4.9015919E+002, 0.0000000E+000,-2.5479820E+002,-6.1852117E-002,-1.3658865E+002,-2.8921009E-002, 3.5803264E+001, 0.0000000E+000, 1.3224483E+002, 1.3448484E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0726338E+005
 2.6104799E+001, 4.9941283E+002, 0.0000000E+000,-2.5742367E+002,-6.1614122E-002,-1.3697816E+002,-2.9364418E-002, 3.9227511E+001, 0.0000000E+000, 1.4481853E+002, 1.4414753E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0744179E+005
 2.6202728E+001, 4.9609018E+002, 0.0000000E+000,-2.5475680E+002,-6.1694657E-002,-1.3679943E+002,-2.9377444E-002, 3.8657359E+001, 0.0000000E+000, 1.4140145E+002, 1.4310024E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0761666E+005
 2.6300655E+001, 5.1716523E+002, 0.0000000E+000,-2.6242173E+002,-6.1839310E-002,-1.3678375E+002,-2.9236337E-002, 4.2479577E+001, 0.0000000E+000, 1.5905466E+002, 1.6034825E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0780881E+005
 2.6401459E+001, 5.1776905E+002, 0.0000000E+000,-2.6491976E+002,-6.1822198E-002,-1.3716073E+002,-2.9218045E-002, 4.3540007E+001, 0.0000000E+000, 1.6125779E+002, 1.5913752E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0801359E+005
 2.6510489E+001, 4.7689023E+002, 0.0000000E+000,-2.5464057E+002,-6.1660461E-002,-1.3741565E+002,-2.9182764E-002, 3.3065100E+001, 0.0000000E+000, 1.2029520E+002, 1.1780827E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0818313E+005
 2.6602074E+001, 4.8352594E+002, 0.0000000E+000,-2.5780417E+002,-6.1781436E-002,-1.3768437E+002,-2.9214747E-002, 3.1845360E+001, 0.0000000E+000, 1.1860688E+002, 1.1979176E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0831778E+005
 2.6702820E+001, 4.8944695E+002, 0.0000000E+000,-2.6041615E+002,-6.1812452E-002,-1.3794835E+002,-2.9201659E-002, 3.4084363E+001, 0.0000000E+000, 1.2489524E+002, 1.2507580E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0847636E+005
 2.6802988E+001, 5.0173842E+002, 0.0000000E+000,-2.5647515E+002,-6.1918527E-002,-1.3783734E+002,-2.9049202E-002, 3.9977588E+001, 0.0000000E+000, 1.4376256E+002, 1.4731255E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0865969E+005
 2.6909637E+001, 5.2191440E+002, 0.0000000E+000,-2.6598267E+002,-6.1912107E-002,-1.3765224E+002,-2.9080040E-002, 4.3353908E+001, 0.0000000E+000, 1.6208914E+002, 1.6154240E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0887470E+005
 2.7004436E+001, 5.0628070E+002, 0.0000000E+000,-2.6644515E+002,-6.2025629E-002,-1.3793516E+002,-2.9005580E-002, 3.8358856E+001, 0.0000000E+000, 1.4282152E+002, 1.4016821E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0904493E+005
 2.7109901E+001, 4.9587831E+002, 0.0000000E+000,-2.6139967E+002,-6.2361772E-002,-1.3856296E+002,-2.8749922E-002, 3.5410547E+001, 0.0000000E+000, 1.3246203E+002, 1.3123512E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0921914E+005
 2.7206999E+001, 4.8155969E+002, 0.0000000E+000,-2.5972884E+002,-6.2352632E-002,-1.3977752E+002,-2.8646651E-002, 3.1065363E+001, 0.0000000E+000, 1.1380499E+002, 1.1302768E+002, 0.0000000E+000, 1.0977357E-002, 0.0000000E+000, 1.0935943E+005
